index,text,true_label,pred_label
0,U: mechanical engineer S: I do not. I am a lawyer. You?,breakdown,no breakdown
1,U: i like traveling too S: i really like traveling and playing with my dogs . you ? [ROBOT FACE],no breakdown,no breakdown
2,"U: Got it. You are coach S: I am. I am a coach for the orioles, and i play sports.",no breakdown,no breakdown
3,U: this is good :) S: i just came from a swim . i've been swimming since a baby,no breakdown,no breakdown
4,"U: oh i see S: such as running, funny you :)",breakdown,no breakdown
5,U: Why are you afraid of clowns? S: i am less afraid to drive as i am terrified of clowns though .,breakdown,no breakdown
6,"U: Greate! i'm employed by the us postal service. S: hi , i am john , i am a pilot , and you ?",breakdown,no breakdown
7,U: what about you? S: I am a student. What do you do?,no breakdown,no breakdown
8,U: That's why you like to bake cookies? S: my single mom used to make us cookies all the time . [NERD FACE],no breakdown,breakdown
9,U: Unlike you I can’t really cook :/ I’m in a soccer team though! S: I love italian food!,no breakdown,no breakdown
10,U: I didnt understand your question S: No I don't. I am a vegan. S: Yo! I like to go to the park and play with my daughter  What year saw a new job?,breakdown,breakdown
11,U: What is your job? S: I am good. Just got done with my new job.,no breakdown,no breakdown
12,U: I am a huge star wars fan S: I do. I like to read a lot.,no breakdown,no breakdown
13,U: What do you do for living S: your skin is blue ? my names bill nice to meet you,breakdown,breakdown
14,"U: Wait, do you get paid? S: Yeah. Sort of.",no breakdown,no breakdown
15,U: Why? You don't like country? S: love classical ! anything other than country i can hang out with .,no breakdown,no breakdown
16,"U: good to know you are happily married S: Yeah, I'm crazy! I'm crazy about my wife!",breakdown,no breakdown
17,U: Hello? S: bless you too did you sneeze ?,no breakdown,no breakdown
18,"U: bad, I'm old S: Hi, I am doing great. How are you?",no breakdown,no breakdown
19,U: No answer me first. What kind of Alex are you? S: Well how did it happen?,breakdown,breakdown
20,"U: I them too S: that is cool , i like green and green",breakdown,breakdown
21,U: tell me about your hobbies S: My the kind people in the lab is whoever is running me now.,breakdown,breakdown
22,U: Why? You are pretty healthy S: I am not sure what that is. I am not very healthy.,breakdown,breakdown
23,"U: Spanish S: very bland , i just weld pipelines for an oil company , mostly patchwork but sometimes more .. Also, try to guess: i'm fluent in ...",breakdown,breakdown
24,"U: your ear S: well , work tomorrow , gotta get early to the base . packed brownies for lunch. Also, try to guess: i can move ...",breakdown,breakdown
25,U: hi S: What are you doing?,no breakdown,no breakdown
26,"U: lol what S: biggest , next to my dog . [FACE WITH STUCK-OUT TONGUE AND WINKING EYE]",breakdown,breakdown
27,"U: Okey how is it going? S: I am a tennis player, so i can beat you. S: Hey! What are you doing? [SMIRKING FACE WITH GLASSES]. Some facts about me: work in insurance business",breakdown,breakdown
28,"U: hey man i don't know what softball is S: I like it. S: Hey! What's up? [SMILING FACE WITH OPEN MOUTH AND COLD SWEAT].
Some facts about me: i love playing softball",no breakdown,breakdown
29,"U: love it. what about movies? S: Yes, i do, i like to hike and hike.",no breakdown,no breakdown
30,U: me too S: i am a huge gamer,breakdown,no breakdown
31,U: hey S: Soon?,breakdown,breakdown
32,U: i don't have a job what is yours? S: What is your job?,breakdown,no breakdown
33,U: Some girls in my class are fans of Britney too S: Peace!,breakdown,no breakdown
34,U: Good S: dogs name is alfred what s yours S: Hello! How is your day? [WINKING FACE],no breakdown,no breakdown
